day,n_healthy,n_faulted_all,n_faulted_unambiguous,retained_fraction,auc_all,auc_unambiguous,P5_decoder_error
658,13,19,13,0.684,0.8785,0.8876,33.62466663194343
672,17,22,0,0.0,0.7219,,72.2736133178743
675,12,24,7,0.292,0.9062,0.8929,54.554284437223686
689,22,10,1,0.1,0.5636,,77.51742845835683
692,6,25,12,0.48,0.8867,0.9167,43.17879908570725
702,5,18,12,0.667,0.4556,0.4667,50.482606071440905
709,18,21,4,0.19,0.7063,,59.45643475764124
715,7,24,8,0.333,0.5536,0.6429,80.1254648173049
751,18,15,1,0.067,0.6481,,78.02043426019569
758,25,8,5,0.625,0.685,0.776,45.27497912452755
770,19,15,4,0.267,0.4825,,80.05021076050689
783,8,20,1,0.05,0.3187,,89.29621356182648
800,5,23,5,0.217,0.9739,1.0,42.480696649594606
